track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number,tempo_scaled
6R09aKvEmPHqgrCe9Uw3JA,LoCKeDoWN2,0.713,0.167,0.344,117.99,0.784,-12.675,0.0764,465980,9,0.533,0.286,0,1,0,0.573582814391343
4YrUH3TZazK6DC2w5qXryI,Makeshift Tourniquet,0.714,0.0141,0.578,122.001,0.88,-8.825,0.11,317835,8,0.163,0.0445,1,2,0,0.5930814216336828
7loLSr7JUn78pLHitHr89Z,踊り子,0.718,0.853,0.476,157.034,0.786,-11.469,0.105,230110,7,0.684,0.0623,1,3,0,0.7633867588365977
2HOh3QHfKfMmcQcarbQfbD,Mesosphere,0.631,0.0704,0.748,126.38,0.937,-8.52,0.518,330722,10,0.506,0.051,0,4,0,0.614368981123637
2zxyJLw5M20hhkCuQahU7o,Gritti,0.789,0.00165,0.87,127.989,0.864,-8.717,0.0893,304403,2,0.426,0.0618,1,5,0,0.6221907859236682
1crFMDw8dPWI9GV0xvcr2r,3FALL,0.579,0.0135,0.946,137.961,0.932,-4.954,0.155,135109,8,0.393,0.0339,1,6,0,0.6706675028073912
0roOEiaAICru8RFULJFine,Swept Illusions - Dorisburg 808 Dance Mix,0.808,0.0173,0.797,124.002,0.866,-12.343,0.0832,418408,9,0.174,0.131,0,7,0,0.6028088494800857
6li9iqinbxx8ROFQRublQQ,20HZ - Marco Lys Remix,0.699,0.00012,0.978,128.015,0.855,-6.487,0.0732,384375,5,0.722,0.0428,0,8,0,0.6223171792889887
5iGUvG6pkD3PJTicgc3XQo,Whaddup Doe,0.853,0.0515,0.719,95.029,0.576,-6.954,0.11,131000,10,0.443,0.0818,0,9,0,0.4619628889634285
6hdJfCDTTZ8HUdzG7UHPa2,Robotik,0.799,0.00573,0.905,123.998,0.905,-9.105,0.0819,343685,5,0.797,0.0486,1,10,0,0.6027894043469595
3a5w2W3hf1W7WDT9bGnjX0,Nerve,0.782,0.00125,0.993,127.97,0.856,-7.564,0.17,258140,6,0.172,0.0765,1,11,0,0.6220984215413184
7ixOQv18BLRJzX9e3fzBub,Horns Cru,0.796,0.00178,0.731,132.001,0.485,-7.469,0.378,311477,11,0.291,0.0679,0,12,0,0.6416942544492895
0VJepL5nwTVTuNuPyIsa6O,All We Need - '87 Fix,0.691,0.0572,0.698,125.011,0.0108,-5.21,0.0882,392947,8,0.712,0.0472,0,13,0,0.6077138843111805
0nDjPt5zgW0on7MskoEZWp,Whatcha Gonna Do,0.816,0.00298,0.906,124.007,0.898,-5.553,0.269,368226,10,0.8,0.0574,0,14,0,0.6028331558964936
5qcq39w4Z5UbRxGA3Ry0w5,The Paddle,0.789,0.012,0.851,129.968,0.809,-9.176,0.059,387680,7,0.834,0.0721,1,15,0,0.6318112655378766
3uahZPFLqwDp0Jje5K60q4,Desire,0.728,0.013,0.792,133.971,0.903,-8.754,0.108,171953,6,0.679,0.04,0,16,0,0.6512709825139641
5mrZkownT1wEALUBUW9x3A,Close to the Edge,0.775,0.000782,0.725,124.0,0.186,-6.082,0.0756,403813,3,0.668,0.0409,0,17,0,0.6027991269135227
47QUKurZgMF7ZIRgwaFf7r,Lobster Telephone - Full Length,0.761,0.00521,0.686,129.985,0.219,-7.297,0.0845,349635,9,0.804,0.0378,1,18,0,0.6318939073536632
19mPqF8IRcFBTjjX0YXazd,Hot Java,0.797,0.0011,0.792,132.001,0.915,-10.524,0.368,341818,2,0.519,0.0497,1,19,0,0.6416942544492895
7oaQ1AHKkOH3XBbp1lQTgP,30003a,0.794,0.00616,0.75,127.974,0.941,-9.671,0.0588,419961,7,0.337,0.0525,1,20,0,0.6221178666744447
2HHjWqDRBDWF33tlrJPRLm,Brain Rays,0.344,0.000291,0.854,170.03,0.787,-5.064,0.297,293000,10,0.22,0.062,0,21,0,0.8265639963637601
459x3l9yol31jT9brELv4f,One to Zen,0.641,0.000207,0.957,132.001,0.874,-6.748,0.354,500500,6,0.842,0.0436,1,22,0,0.6416942544492895
2OzWNBl541iIac1PHtITkH,Willow,0.711,0.00446,0.913,126.999,0.886,-5.015,0.0518,368943,10,0.17,0.0524,0,23,0,0.617378115474923
7hhclvecTpNxNNRCk7NUoc,Little L,0.878,0.168,0.724,121.906,0.0116,-5.373,0.133,295400,10,0.904,0.129,0,24,0,0.5926195997219347
4CFMIIUs9526Xxd17VPSAj,Superclass (Lucas Lee's Deep In The Cut Mix) - Lucas Lee Remix,0.722,0.102,0.928,122.995,0.912,-5.426,0.126,389516,5,0.596,0.0458,1,25,0,0.5979135372155542
1P0lq7DjgZnqR76Q5gFM2m,House Music (Drum Mix 2),0.8,0.204,0.94,127.986,0.861,-9.565,0.0741,461013,5,0.65,0.0511,0,26,0,0.6221762020738235
4TymjSPrVbEYBzhKChkeQJ,Teardrops (Don't stop The Music) - Nick Morgan Remix,0.77,0.0131,0.815,124.002,0.897,-8.625,0.204,429696,3,0.462,0.0639,0,27,0,0.6028088494800857
18DPBQG245AY7J3rRl4tH0,Nice N Tight - Urban Blues Project Remix,0.725,0.0021,0.945,124.995,0.721,-7.722,0.109,454880,5,0.837,0.0481,0,28,0,0.6076361037786755
3NMxkmSJ3opyoXbKE5Xmv0,Velo Que Bonito,0.803,0.00879,0.904,122.992,0.845,-6.744,0.0788,391220,6,0.0939,0.0403,1,29,0,0.5978989533657095
3oUaDxWbRHZls0gyZZ7bDZ,U Sure Do,0.702,0.0146,0.854,127.964,0.482,-9.344,0.117,298987,3,0.4,0.0713,0,30,0,0.6220692538416291
6lnL2lU4Pjhs1vQP8W1HhT,Foreal - Seb Zito Remix,0.806,0.00134,0.879,127.012,0.914,-10.774,0.127,424503,1,0.618,0.0689,1,31,0,0.6174413121575834
1zfPh26JQxIrLSLW7gGYai,Cleo - Extended Mix,0.803,0.00103,0.556,125.012,0.794,-7.081,0.0448,378750,8,0.688,0.059,0,32,0,0.607718745594462
5ZB4nMkRRPxIcKIKJscNVK,Deep N'Yo Soul - Vocal Mixx,0.788,0.00409,0.791,125.015,0.565,-6.639,0.0865,404869,9,0.583,0.037,1,33,0,0.6077333294443067
07dt1UuXZJvlceiRfn6wIm,Off The Wall,0.794,0.0142,0.823,125.943,0.89,-9.528,0.0772,324025,0,0.713,0.0452,1,34,0,0.612244600329595
59Qcp3nhxhLgu3PhSBkDmz,Traction - Paride Saraceni Remix,0.731,0.000308,0.734,123.994,0.849,-5.306,0.554,505161,7,0.289,0.0409,1,35,0,0.6027699592138333
18zbGRbRmj5PeaREIdvvY2,Burn After Reading,0.797,0.0066,0.855,126.0,0.684,-8.502,0.0922,365716,6,0.868,0.0573,0,36,0,0.612521693476644
234FL0Q5RFZI7H24hMDJZR,Jack,0.808,0.00062,0.914,123.995,0.922,-6.116,0.0502,408397,10,0.73,0.0535,0,37,0,0.6027748204971148
