id,key,instrumentalness,energy,acousticness,danceability
3AaGCSpUFAmtB1XGxz5IWk,7,0.855,0.881,0.00471,0.705
6ilWOSGCIpyRCnVUZsSbEB,1,0.712,0.891,0.045,0.73
1v3ooF930KR3W7VlM7Mzbl,7,0.914,0.945,1.2e-05,0.731
3yaAqfGcXeC02j88iaoebG,2,0.84,0.861,0.0485,0.792
5HWybXhMxw8W8t0sUPysxf,6,0.698,0.659,0.372,0.692
49vNlVxrCBf5WwUCDySVuN,0,0.859,0.715,0.0132,0.79
0JL9dXZ2tjMabWjVjeutKH,3,0.847,0.228,0.927,0.298
3MOhipHFUkGpS0rV7cKrJO,10,0.485,0.637,0.0668,0.757
0wUIiILb3unP1LWA91POJn,0,0.896,0.954,0.00349,0.798
4vworrZL7bZN3Jk4Yh1GJt,0,0.0183,0.76,0.000149,0.709
67Hp634KZbo9B5WMsJOalE,1,0.0547,0.955,0.115,0.606
2jPGZrgcptxJpFV5FXeFZX,5,0.86,0.705,0.165,0.777
2ZaL63zLMDr6H18El2EIt9,10,0.485,0.637,0.0668,0.757
1uOtAQ7g9zVKf8vh0dcO4d,11,0.0382,0.855,0.0708,0.626
70ty8QsYOKx9PGCADJSdA3,3,0.508,0.782,0.03,0.842
4tUA0XgKiEigUywHbtkdLX,10,0.911,0.829,0.131,0.592
59QNyVtGhYoDnpO6T1e4yR,4,0.856,0.841,0.00409,0.667
7aLYQgzGLy8duSSdTJa1ik,10,0.393,0.576,0.0913,0.658
3FeosxZcVBWesL8jTMtVbk,1,0.916,0.576,0.00332,0.803
4kTnzCEM0ySHMf8nSCqLB5,8,0.703,0.83,0.000233,0.49
5EGJ7e7frJjYja6H4afzoT,1,0.334,0.571,0.21,0.723
1V2Z18nOByb7DqCECFh2Yt,7,0.892,0.524,0.0316,0.664
3scH3LfC2eyoX4zd5sp759,0,0.847,0.629,0.00613,0.792
1wUi98zKIqQqeJaSsORKqm,7,0.89,0.685,1.18e-05,0.803
0ppoT7dGTnY1Y5QKC125bz,0,0.583,0.494,0.00314,0.495
6aFibEwLZUbMln9c5nwtyQ,9,0.0575,0.764,0.163,0.794
5nvBbsER3AjvqnptLds8VP,10,0.886,0.834,0.00937,0.627
6NK6YFjxpLMpaqt6YKfIDA,8,8.58e-05,0.661,0.323,0.729
07SjDKarzZO519FaIfGxT1,4,0.866,0.749,0.00277,0.544
44IWxLvITxZg3uFvX05Bmh,5,0.9,0.472,0.168,0.53
78HchVnOwjWI8EQfOAlXFV,8,0.873,0.803,1.96e-05,0.554
6JPkbXQQNVla6ilOgJ8Tsu,7,0.54,0.593,0.0125,0.728
6IgxlOpJ1o16NqJtNQwAUo,7,0.898,0.782,0.042,0.588
2xYXaZM4dOKZO02zmvRRQD,6,0.889,0.657,0.183,0.674
77EwsTh7jz9khxVQK7gFBW,4,0.855,0.62,0.163,0.796
4YrUH3TZazK6DC2w5qXryI,8,0.88,0.578,0.0141,0.714
4pZZSrEUgaQJ2E2iNS7Hs1,0,0.719,0.791,0.0135,0.474
5O3GznAgkjc07BtlE9Xq9r,3,0.886,0.602,0.209,0.811
5YnYfl7h8OaOVBvCBCwa6y,0,0.84,0.179,0.934,0.507
0J9uaeOd7GZi9MTybtqAD4,1,0.79,0.417,0.445,0.725
5ro1X9qQIZVJT32Vlx4QAo,5,0.845,0.867,0.00194,0.648
7mY1LR71yeCJWYcNGT5xMF,0,0.921,0.91,0.103,0.713
5nZR6YRCKvYCXchMDpuIJ7,10,0.107,0.437,0.599,0.672
3UpaVhDv0SSohoKwukMfD6,10,0.846,0.796,0.0056,0.797
3omdHDf6LTJVnHDUKS9kN7,1,0.00664,0.862,0.0624,0.723
4EF0sD3FSWxf6w5VOuoQir,4,0.0047,0.783,0.0223,0.502
5Un6I8vHv1x0HdWEXjOgwc,8,0.765,0.755,0.00378,0.633
6tM2gr0pEFq1oPTIjFeICU,10,0.356,0.264,0.895,0.428
08SwGX1aTHB4ggF2lE8PVg,4,0.911,0.619,0.393,0.721
0GOxU3iUcbrWkvCdkvo8nL,2,0.886,0.372,0.61,0.281
2fnJWZtmyXoIXId90sYWWa,0,0.9,0.722,0.693,0.836
4N8Iwg073FXfJgSdpe5xU4,10,0.776,0.748,0.134,0.648
6HicnILThHx5EEay264cWT,2,0.773,0.657,0.00231,0.757
