track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
3AaGCSpUFAmtB1XGxz5IWk,ATK,0.705,0.00471,0.881,127.983,0.855,-8.886,0.0512,245208,7,0.584,0.0625,1
6ilWOSGCIpyRCnVUZsSbEB,Sadhana,0.73,0.045,0.891,129.965,0.712,-7.939,0.186,173264,1,0.976,0.0701,1
1v3ooF930KR3W7VlM7Mzbl,Pressure Roll,0.731,1.2e-05,0.945,130.004,0.914,-5.58,0.0288,286095,7,0.406,0.238,1
3yaAqfGcXeC02j88iaoebG,Fold,0.792,0.0485,0.861,128.002,0.84,-6.849,0.107,335384,2,0.0869,0.0476,1
5HWybXhMxw8W8t0sUPysxf,Need You,0.692,0.372,0.659,128.025,0.698,-11.904,0.0686,214528,6,0.276,0.0428,0
49vNlVxrCBf5WwUCDySVuN,Blood In The Snow - Tibi Dabo Remix,0.79,0.0132,0.715,130.99,0.859,-7.213,0.0746,386052,0,0.47,0.0476,1
0JL9dXZ2tjMabWjVjeutKH,Polyghost,0.298,0.927,0.228,127.917,0.847,-19.981,0.11,108800,3,0.0839,0.0367,0
3MOhipHFUkGpS0rV7cKrJO,Rosewood,0.757,0.0668,0.637,121.009,0.485,-9.451,0.191,242773,10,0.429,0.0432,0
0wUIiILb3unP1LWA91POJn,Clap Clap,0.798,0.00349,0.954,127.993,0.896,-5.785,0.0476,427222,0,0.233,0.0856,1
4vworrZL7bZN3Jk4Yh1GJt,Move Your Body (Elevation) [Club Mix],0.709,0.000149,0.76,121.97,0.0183,-12.105,0.351,438480,0,0.674,0.0397,1
67Hp634KZbo9B5WMsJOalE,It's a Fine Day,0.606,0.115,0.955,125.007,0.0547,-9.857,0.15,330533,1,0.285,0.0462,0
2jPGZrgcptxJpFV5FXeFZX,Joy,0.777,0.165,0.705,123.003,0.86,-8.912,0.157,349268,5,0.454,0.0639,0
2ZaL63zLMDr6H18El2EIt9,Rosewood,0.757,0.0668,0.637,121.009,0.485,-9.451,0.191,242773,10,0.429,0.0432,0
1uOtAQ7g9zVKf8vh0dcO4d,How Long,0.626,0.0708,0.855,119.131,0.0382,-5.745,0.143,261224,11,0.194,0.0583,0
70ty8QsYOKx9PGCADJSdA3,Boston Common - Mixed,0.842,0.03,0.782,121.096,0.508,-9.694,0.0308,253680,3,0.742,0.134,0
4tUA0XgKiEigUywHbtkdLX,Maia - Mixed,0.592,0.131,0.829,122.992,0.911,-8.442,0.109,228293,10,0.254,0.0345,0
