track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number
5eS6pTvDNOvh2kyxeZtK3r,Robot Rock / Oh Yeah,0.479,0.00018,0.678,116.033,0.661,-12.17,0.421,387507,2,0.227,0.0758,1,1,0
7LL40F6YdZgeiQ6en1c7Lk,Robot Rock,0.59,6.94e-06,0.787,111.926,0.845,-5.766,0.0293,287720,7,0.598,0.0512,1,2,0
247OK7W7ke06iripfvHDiw,Robot Rock,0.59,6.94e-06,0.787,111.924,0.845,-5.766,0.0293,287720,7,0.598,0.0512,1,3,0
4q5UlYGp3arPnpSFdyWsga,Bail-E,0.799,0.000216,0.668,129.992,0.763,-7.394,0.118,472842,9,0.582,0.0512,0,4,0
6kH113rr1wRLEOe2wzno7H,Embrace,0.815,0.0506,0.668,116.998,0.134,-8.261,0.281,484179,8,0.464,0.0553,1,5,0
6TybjMauEJQTYDdXyOBJMW,Montagem Baile Nosso,0.822,0.00617,0.883,126.034,0.371,-8.947,0.297,113811,7,0.78,0.0799,1,6,0
15HbDTeH9HyVfjc1YIEPaU,8 Bar Baile,0.8,0.0017,0.79,132.937,0.702,-9.915,0.068,291289,0,0.62,0.0605,1,7,0
5gO3we0r0Io2PnOkQfCcvJ,Na Captura,0.804,0.0345,0.785,129.998,0.846,-7.981,0.0846,240000,7,0.592,0.0866,1,8,0
2MjLBrjjqOrpq0xeS4xENa,Tigueretá,0.794,0.00997,0.923,130.003,0.518,-5.705,0.111,234923,7,0.395,0.0479,1,9,0
4Za8gLWwhw2Ly41bsUpNgX,Mime Jigs,0.796,0.00805,0.966,128.003,0.914,-6.02,0.0832,440625,7,0.438,0.0382,1,10,0
103T6v1qIGEHMptmpm9arK,Snare Yo Azz Off - Traxman's Back To Da 90s Beat Track Rework,0.549,6.29e-06,0.947,130.962,0.955,-10.047,0.0776,346940,11,0.0389,0.11,0,11,0
32o6xdKEnydv9QVoRVsKZI,Morning Thesis,0.805,2.49e-05,0.748,123.013,0.893,-11.458,0.129,580974,4,0.167,0.0559,0,12,0
17bvpBmsaAHWGmygb7IBWU,Brain Storming,0.629,0.00126,0.753,127.992,0.928,-9.059,0.145,426078,7,0.0337,0.0523,1,13,0
16elMhqoeUhw4Id6PLg2KN,The Motivation (Efdemin Remix),0.599,0.0173,0.819,129.005,0.872,-10.859,0.117,357630,10,0.171,0.039,0,14,0
2W7csQdJedN1seipdiQQQz,Brokheimer,0.511,0.00828,0.672,121.998,0.896,-8.676,0.101,399545,6,0.376,0.0896,0,15,0
5qZiYccYZTuLCSsgv4iPdR,Isolate,0.632,0.000307,0.828,130.004,0.726,-7.918,0.0477,243559,6,0.113,0.0355,1,16,0
2XUpjgBFHoBqWGtZz06Irn,river surface,0.49,0.0015,0.906,150.012,0.327,-5.726,0.156,216000,1,0.222,0.0378,0,17,0
6R09aKvEmPHqgrCe9Uw3JA,LoCKeDoWN2,0.713,0.167,0.344,117.99,0.784,-12.675,0.0764,465980,9,0.533,0.286,0,18,0
4YrUH3TZazK6DC2w5qXryI,Makeshift Tourniquet,0.714,0.0141,0.578,122.001,0.88,-8.825,0.11,317835,8,0.163,0.0445,1,19,0
7loLSr7JUn78pLHitHr89Z,踊り子,0.718,0.853,0.476,157.034,0.786,-11.469,0.105,230110,7,0.684,0.0623,1,20,0
2HOh3QHfKfMmcQcarbQfbD,Mesosphere,0.631,0.0704,0.748,126.38,0.937,-8.52,0.518,330722,10,0.506,0.051,0,21,0
2zxyJLw5M20hhkCuQahU7o,Gritti,0.789,0.00165,0.87,127.989,0.864,-8.717,0.0893,304403,2,0.426,0.0618,1,22,0
1crFMDw8dPWI9GV0xvcr2r,3FALL,0.579,0.0135,0.946,137.961,0.932,-4.954,0.155,135109,8,0.393,0.0339,1,23,0
0roOEiaAICru8RFULJFine,Swept Illusions - Dorisburg 808 Dance Mix,0.808,0.0173,0.797,124.002,0.866,-12.343,0.0832,418408,9,0.174,0.131,0,24,0
6li9iqinbxx8ROFQRublQQ,20HZ - Marco Lys Remix,0.699,0.00012,0.978,128.015,0.855,-6.487,0.0732,384375,5,0.722,0.0428,0,25,0
5iGUvG6pkD3PJTicgc3XQo,Whaddup Doe,0.853,0.0515,0.719,95.029,0.576,-6.954,0.11,131000,10,0.443,0.0818,0,26,0
6hdJfCDTTZ8HUdzG7UHPa2,Robotik,0.799,0.00573,0.905,123.998,0.905,-9.105,0.0819,343685,5,0.797,0.0486,1,27,0
3a5w2W3hf1W7WDT9bGnjX0,Nerve,0.782,0.00125,0.993,127.97,0.856,-7.564,0.17,258140,6,0.172,0.0765,1,28,0
7ixOQv18BLRJzX9e3fzBub,Horns Cru,0.796,0.00178,0.731,132.001,0.485,-7.469,0.378,311477,11,0.291,0.0679,0,29,0
0VJepL5nwTVTuNuPyIsa6O,All We Need - '87 Fix,0.691,0.0572,0.698,125.011,0.0108,-5.21,0.0882,392947,8,0.712,0.0472,0,30,0
0nDjPt5zgW0on7MskoEZWp,Whatcha Gonna Do,0.816,0.00298,0.906,124.007,0.898,-5.553,0.269,368226,10,0.8,0.0574,0,31,0
