track_id,track_name,danceability,acousticness,tempo,instrumentalness,loudness,key,speechiness,mode,play_number,playlist_number,tempo_scaled
5eS6pTvDNOvh2kyxeZtK3r,Robot Rock / Oh Yeah,0.479,0.00018,116.033,0.661,-12.17,2,0.0758,1,1,0,0.46778634694231336
7LL40F6YdZgeiQ6en1c7Lk,Robot Rock,0.59,6.94e-06,111.926,0.845,-5.766,7,0.0512,1,2,0,0.4512290009554641
247OK7W7ke06iripfvHDiw,Robot Rock,0.59,6.94e-06,111.924,0.845,-5.766,7,0.0512,1,3,0,0.45122093796740137
4q5UlYGp3arPnpSFdyWsga,Bail-E,0.799,0.000216,129.992,0.763,-7.394,9,0.0512,0,4,0,0.5240619721262502
6kH113rr1wRLEOe2wzno7H,Embrace,0.815,0.0506,116.998,0.134,-8.261,8,0.0553,1,5,0,0.4716767386825884
6TybjMauEJQTYDdXyOBJMW,Montagem Baile Nosso,0.822,0.00617,126.034,0.371,-8.947,7,0.0799,1,6,0,0.5081053187500756
15HbDTeH9HyVfjc1YIEPaU,8 Bar Baile,0.8,0.0017,132.937,0.702,-9.915,0,0.0605,1,7,0,0.535934722048644
5gO3we0r0Io2PnOkQfCcvJ,Na Captura,0.804,0.0345,129.998,0.846,-7.981,7,0.0866,1,8,0,0.5240861610904385
2MjLBrjjqOrpq0xeS4xENa,Tigueretá,0.794,0.00997,130.003,0.518,-5.705,7,0.0479,1,9,0,0.5241063185605953
4Za8gLWwhw2Ly41bsUpNgX,Mime Jigs,0.796,0.00805,128.003,0.914,-6.02,7,0.0382,1,10,0,0.5160433304978491
103T6v1qIGEHMptmpm9arK,Snare Yo Azz Off - Traxman's Back To Da 90s Beat Track Rework,0.549,6.29e-06,130.962,0.955,-10.047,11,0.11,0,11,0,0.5279725213366822
32o6xdKEnydv9QVoRVsKZI,Morning Thesis,0.805,2.49e-05,123.013,0.893,-11.458,4,0.0559,0,12,0,0.4959261752812975
17bvpBmsaAHWGmygb7IBWU,Brain Storming,0.629,0.00126,127.992,0.928,-9.059,7,0.0523,1,13,0,0.5159989840635041
16elMhqoeUhw4Id6PLg2KN,The Motivation (Efdemin Remix),0.599,0.0173,129.005,0.872,-10.859,10,0.039,0,14,0,0.520082887517285
2W7csQdJedN1seipdiQQQz,Brokheimer,0.511,0.00828,121.998,0.896,-8.676,6,0.0896,0,15,0,0.49183420883945383
5qZiYccYZTuLCSsgv4iPdR,Isolate,0.632,0.000307,130.004,0.726,-7.918,6,0.0355,1,16,0,0.5241103500546267
2XUpjgBFHoBqWGtZz06Irn,river surface,0.49,0.0015,150.012,0.327,-5.726,1,0.0378,0,17,0,0.6047724826343395
6R09aKvEmPHqgrCe9Uw3JA,LoCKeDoWN2,0.713,0.167,117.99,0.784,-12.675,9,0.286,0,18,0,0.47567598076171047
4YrUH3TZazK6DC2w5qXryI,Makeshift Tourniquet,0.714,0.0141,122.001,0.88,-8.825,8,0.0445,1,19,0,0.49184630332154794
7loLSr7JUn78pLHitHr89Z,踊り子,0.718,0.853,157.034,0.786,-11.469,7,0.0623,1,20,0,0.6330816337226413
2HOh3QHfKfMmcQcarbQfbD,Mesosphere,0.631,0.0704,126.38,0.937,-8.52,10,0.051,0,21,0,0.5095002156849306
2zxyJLw5M20hhkCuQahU7o,Gritti,0.789,0.00165,127.989,0.864,-8.717,2,0.0618,1,22,0,0.51598688958141
1crFMDw8dPWI9GV0xvcr2r,3FALL,0.579,0.0135,137.961,0.932,-4.954,8,0.0339,1,23,0,0.5561889480622625
0roOEiaAICru8RFULJFine,Swept Illusions - Dorisburg 808 Dance Mix,0.808,0.0173,124.002,0.866,-12.343,9,0.131,0,24,0,0.49991332287832546
6li9iqinbxx8ROFQRublQQ,20HZ - Marco Lys Remix,0.699,0.00012,128.015,0.855,-6.487,5,0.0428,0,25,0,0.5160917084262256
5iGUvG6pkD3PJTicgc3XQo,Whaddup Doe,0.853,0.0515,95.029,0.576,-6.954,10,0.0818,0,26,0,0.38310884630735303
6hdJfCDTTZ8HUdzG7UHPa2,Robotik,0.799,0.00573,123.998,0.905,-9.105,5,0.0486,1,27,0,0.49989719690219997
