track_id,track_name,danceability,acousticness,tempo,instrumentalness,energy,key,speechiness,mode,valence,liveness,play_number,playlist_number
58iL0nPrQDiGo78wm1E4XO,Forest Ghosts,0.108,0.914,75.733,0.834,0.272,2,0.0367,0,0.0695,0.0845,1,1
4DQvQr7e1reGeNuziY30hv,Last Winter,0.728,0.0749,99.014,0.83,0.61,11,0.0644,0,0.14,0.106,2,1
77VCh47G2NW2R9MrhE4GSP,Love Is the Message,0.34,0.348,82.896,0.904,0.557,1,0.0351,0,0.416,0.0888,3,1
3hELSPpiLJFdgSZ1h7YpBL,Temple,0.246,0.438,118.886,0.252,0.565,10,0.0382,1,0.0378,0.0989,4,1
5lroY9xmal22Xc5ebtvO4t,Hidden Tropics,0.678,0.154,124.001,0.869,0.802,5,0.0514,0,0.401,0.366,5,1
1ESzyXxkUwxQF3Blh7O3Dt,No War,0.592,0.0232,119.998,0.862,0.675,2,0.0316,0,0.276,0.076,6,1
23BOrb5trC7y1vr26IRAQ4,Dschuna - Dixon Mix,0.656,0.00403,118.027,0.803,0.744,5,0.0491,1,0.184,0.379,7,1
5GebEEB1cB7JGJQKU2JgEr,Slanted,0.439,0.199,174.079,0.567,0.6,7,0.187,0,0.336,0.386,8,1
6aykUGbGRd23YUrMYYOclI,Making Sense,0.629,0.234,140.014,0.37,0.559,5,0.0384,0,0.215,0.0856,9,1
2U1ywD86EqAx9JRDohDZH7,Waters Rising,0.384,0.000336,108.106,0.436,0.713,0,0.0582,0,0.0434,0.556,10,1
3u2R3fpfSNwvEWDzSVcXVS,undir,0.368,0.78,140.009,0.89,0.479,4,0.0486,1,0.0367,0.0887,11,1
46eZrYtPVulmQNz6LgiTEr,J Buyers,0.422,0.411,151.487,0.886,0.707,1,0.0395,0,0.532,0.123,12,1
1zsI90Kqvo7c26KAySCRw0,Restless,0.754,0.339,115.007,0.786,0.782,8,0.0437,0,0.941,0.159,13,1
2HOh3QHfKfMmcQcarbQfbD,Mesosphere,0.631,0.0704,126.38,0.937,0.748,10,0.051,0,0.506,0.518,14,1
3zaP5shr7BR6Ehj9lZQZPJ,Cape Town Jam,0.429,0.0197,124.989,0.902,0.724,5,0.0491,1,0.945,0.261,15,1
1f0yPMwmN0LDuqDsJJcmif,Desires,0.813,0.00323,126.0,0.0771,0.637,4,0.213,0,0.794,0.0516,16,1
6IwbrqhA8HxDwcIWNbAbGV,Afe Ato Yen Bio,0.814,0.404,122.312,0.000164,0.856,3,0.0404,1,0.95,0.147,17,1
6d7pdDVxhOAAelJITR3R4Y,Where Will I Go,0.475,0.075,124.571,0.019,0.551,8,0.0353,0,0.429,0.129,18,1
1AEKWsqPEFRLAhBOvpLZFC,Always,0.489,0.011,131.817,0.0,0.671,9,0.0375,0,0.691,0.632,19,1
5jMNLNQVRMlVAxCyZEQ4Mg,Your Life,0.756,0.0116,119.023,0.654,0.374,2,0.0783,0,0.45,0.082,20,1
4pMJF059Rex6E7L0Z1Iipx,Identity,0.562,0.368,121.018,0.942,0.552,6,0.0427,1,0.2,0.104,21,1
1Kof47wXnb6Ex2VDnvhvaV,Ready Set Go - Saturn Memories Tahini Mix,0.811,0.0187,115.989,0.886,0.72,7,0.0513,1,0.698,0.0739,22,1
3DZqLM8smH1i7Cr6xPunMh,Mating Call,0.639,0.0245,124.007,0.931,0.894,1,0.041,1,0.413,0.255,23,1
5b8ttHzN2ljyUb7e2kkkhh,String Theory,0.742,0.00535,125.004,0.846,0.813,10,0.0544,0,0.54,0.129,24,1
6aw2BGPAzY5kcM3WzELaN3,Starwood Choker,0.068,0.902,73.826,0.936,0.211,11,0.0353,1,0.0354,0.0972,1,2
0KUhHZBmb6vtcVLDBZ6aCB,Over Falls,0.687,0.0729,115.002,0.912,0.733,2,0.047,1,0.377,0.0857,2,2
6uPSGUUi5uucZmfdYP2ttB,Bossa Over? ( Take2),0.797,0.0058,114.997,0.899,0.835,9,0.06,1,0.14,0.329,3,2
7JtgYIvJSQBTFHmJ4nIQ0E,La Dame En Rouge,0.535,0.984,83.996,0.847,0.081,9,0.0319,0,0.136,0.0717,4,2
7HPoNHUAZaXkMFoKUL8Dah,Change,0.918,0.0283,120.006,0.136,0.936,9,0.0877,0,0.923,0.0282,5,2
60hTTJaJ5h6Jr8Hw8kFIMQ,Untitled A1,0.851,0.523,119.991,0.713,0.183,7,0.0672,1,0.343,0.0711,6,2
1dc1QqI8J3tIc9HgDyvrtc,For Us,0.708,0.832,98.328,0.386,0.412,7,0.0516,0,0.56,0.084,7,2
3QZNQYftVFFZFLtthnFhB7,Show Me The Way - Original Mix,0.716,0.00301,126.997,1.29e-06,0.69,8,0.0997,0,0.693,0.12,8,2
2gufyyPazraBadP6QYIvOG,Voices,0.769,0.000481,122.012,0.848,0.716,2,0.0503,1,0.709,0.0669,9,2
1spMky7LRW8KwPRmhQPw9e,Dirty - Original,0.743,0.00659,126.008,0.895,0.849,7,0.0537,1,0.25,0.0767,10,2
4EMXfdWhH0x12WluTsnr85,Kilter,0.724,0.063,123.012,0.788,0.733,0,0.0689,1,0.127,0.139,11,2
1cdB9xuMcwiBBX6VGLCK03,We Dance Again (feat. Nakhane Toure),0.668,0.0412,122.024,0.263,0.544,7,0.0522,1,0.345,0.0549,12,2
3RjJ7cLbldMMn6QPAySECT,Creeping,0.488,0.197,77.6,0.0,0.415,11,0.438,0,0.305,0.123,13,2
7l5j3FapCyr6HxUgoAynM2,Gap in the Clouds,0.576,0.588,139.939,0.0106,0.535,9,0.041,1,0.196,0.31,14,2
0B7tgqZYgyUkrJ65XWFl72,I'm Still a Man (Lord Have Mercy),0.769,0.457,87.356,0.000248,0.326,0,0.0361,1,0.868,0.076,15,2
3hIcea614YYrCEJGtHUyKS,Song for My Father,0.894,0.288,113.199,0.0114,0.475,0,0.163,0,0.903,0.132,16,2
